Date,Time,Price,Volume
01/04/2010,0931,112.42,2029278
01/04/2010,0932,112.45,1282412
01/04/2010,0933,112.45,741133
01/04/2010,0934,112.41,998810
01/04/2010,0935,112.43,695888
01/04/2010,0936,112.58,1566242
01/04/2010,0937,112.62,545903
01/04/2010,0938,112.66,911932
01/04/2010,0939,112.66,724041
01/04/2010,0940,112.64,464110
01/04/2010,0941,112.73,696763
01/04/2010,0942,112.71,625640
01/04/2010,0943,112.69,516410
01/04/2010,0944,112.70,330214
01/04/2010,0945,112.73,707606
01/04/2010,0946,112.87,1715659
01/04/2010,0947,112.88,440046
01/04/2010,0948,112.88,635388
01/04/2010,0949,112.93,1007285
01/04/2010,0950,112.94,563101
01/04/2010,0951,112.90,908459
01/04/2010,0952,112.87,312578
01/04/2010,0953,112.83,364166
01/04/2010,0954,112.80,819544
01/04/2010,0955,112.82,550221
01/04/2010,0956,112.78,239223
01/04/2010,0957,112.81,370584
01/04/2010,0958,112.82,386365
01/04/2010,0959,112.81,183056
01/04/2010,1000,112.83,714073
01/04/2010,1001,112.89,1982281
01/04/2010,1002,112.83,517037
01/04/2010,1003,112.90,579218
01/04/2010,1004,112.87,648258
01/04/2010,1005,112.75,826830
01/04/2010,1006,112.86,698707
01/04/2010,1007,112.90,301752
01/04/2010,1008,112.87,313374
01/04/2010,1009,112.85,315402
01/04/2010,1010,112.93,232927
01/04/2010,1011,112.86,306785
01/04/2010,1012,112.85,256514
01/04/2010,1013,112.83,347401
01/04/2010,1014,112.87,280385
01/04/2010,1015,112.90,1376834
01/04/2010,1016,112.89,313027
01/04/2010,1017,112.87,264699
01/04/2010,1018,112.84,150127
01/04/2010,1019,112.86,332673
01/04/2010,1020,112.86,102861
01/04/2010,1021,112.87,320713
01/04/2010,1022,112.85,134773
01/04/2010,1023,112.87,218846
01/04/2010,1024,112.89,132078
01/04/2010,1025,112.90,145248
01/04/2010,1026,112.93,331130
01/04/2010,1027,112.96,438839
01/04/2010,1028,113.04,696543
01/04/2010,1029,113.09,612921
01/04/2010,1030,113.08,614932
01/04/2010,1031,113.11,682485
01/04/2010,1032,113.09,659146
01/04/2010,1033,113.10,708593
01/04/2010,1034,113.09,192012
01/04/2010,1035,113.07,272418
01/04/2010,1036,113.08,157955
01/04/2010,1037,113.12,306639
01/04/2010,1038,113.12,425396
01/04/2010,1039,113.09,92454
01/04/2010,1040,113.09,292075
01/04/2010,1041,113.09,56025
01/04/2010,1042,113.10,129083
01/04/2010,1043,113.10,99471
01/04/2010,1044,113.15,431148
01/04/2010,1045,113.18,455654
01/04/2010,1046,113.10,404813
01/04/2010,1047,113.12,281137
01/04/2010,1048,113.16,107586
01/04/2010,1049,113.15,70839
01/04/2010,1050,113.16,88194
01/04/2010,1051,113.15,151767
01/04/2010,1052,113.16,57358
01/04/2010,1053,113.21,568266
01/04/2010,1054,113.24,151072
01/04/2010,1055,113.14,586138
01/04/2010,1056,113.15,67443
01/04/2010,1057,113.19,189188
01/04/2010,1058,113.18,232707
01/04/2010,1059,113.16,226540
01/04/2010,1100,113.10,413556
01/04/2010,1101,113.13,200666
01/04/2010,1102,113.14,143023
01/04/2010,1103,113.16,223988
01/04/2010,1104,113.14,109591
01/04/2010,1105,113.14,271927
01/04/2010,1106,113.13,200822
01/04/2010,1107,113.13,66272
01/04/2010,1108,113.18,368153
01/04/2010,1109,113.16,148948
01/04/2010,1110,113.18,239526
01/04/2010,1111,113.17,64832
01/04/2010,1112,113.16,125875
01/04/2010,1113,113.14,188977
01/04/2010,1114,113.14,59454
01/04/2010,1115,113.15,165970
01/04/2010,1116,113.15,36272
01/04/2010,1117,113.14,90196
01/04/2010,1118,113.15,22597
01/04/2010,1119,113.16,99206
01/04/2010,1120,113.15,120875
01/04/2010,1121,113.15,50236
01/04/2010,1122,113.18,131213
01/04/2010,1123,113.21,214859
01/04/2010,1124,113.24,809420
01/04/2010,1125,113.28,291196
01/04/2010,1126,113.22,396688
01/04/2010,1127,113.22,152780
01/04/2010,1128,113.21,202636
01/04/2010,1129,113.18,285778
01/04/2010,1130,113.23,249687
01/04/2010,1131,113.24,583185
01/04/2010,1132,113.23,220487
01/04/2010,1133,113.28,274927
01/04/2010,1134,113.31,340430
01/04/2010,1135,113.27,338543
01/04/2010,1136,113.27,251732
01/04/2010,1137,113.30,152295
01/04/2010,1138,113.31,93399
01/04/2010,1139,113.27,434941
01/04/2010,1140,113.25,83761
01/04/2010,1141,113.28,478458
01/04/2010,1142,113.28,252966
01/04/2010,1143,113.31,189287
01/04/2010,1144,113.34,120746
01/04/2010,1145,113.33,352470
01/04/2010,1146,113.29,231653
01/04/2010,1147,113.31,118119
01/04/2010,1148,113.32,139518
01/04/2010,1149,113.30,36364
01/04/2010,1150,113.31,128845
01/04/2010,1151,113.30,188201
01/04/2010,1152,113.31,58074
01/04/2010,1153,113.32,96966
01/04/2010,1154,113.33,156380
01/04/2010,1155,113.34,54840
01/04/2010,1156,113.30,265883
01/04/2010,1157,113.34,146614
01/04/2010,1158,113.34,64535
01/04/2010,1159,113.30,313050
01/04/2010,1200,113.28,291752
01/04/2010,1201,113.27,344992
01/04/2010,1202,113.28,195310
01/04/2010,1203,113.27,151170
01/04/2010,1204,113.25,260075
01/04/2010,1205,113.26,179566
01/04/2010,1206,113.27,202398
01/04/2010,1207,113.28,157889
01/04/2010,1208,113.29,18886
01/04/2010,1209,113.29,128254
01/04/2010,1210,113.29,146950
01/04/2010,1211,113.27,61845
01/04/2010,1212,113.26,94966
01/04/2010,1213,113.28,66865
01/04/2010,1214,113.28,67139
01/04/2010,1215,113.28,27954
01/04/2010,1216,113.28,92981
01/04/2010,1217,113.29,17833
01/04/2010,1218,113.27,105446
01/04/2010,1219,113.26,111874
01/04/2010,1220,113.25,62725
01/04/2010,1221,113.27,211312
01/04/2010,1222,113.26,53088
01/04/2010,1223,113.29,151571
01/04/2010,1224,113.30,77580
01/04/2010,1225,113.28,140548
01/04/2010,1226,113.30,106315
01/04/2010,1227,113.30,20196
01/04/2010,1228,113.30,135896
01/04/2010,1229,113.28,147651
01/04/2010,1230,113.30,88039
01/04/2010,1231,113.30,84570
01/04/2010,1232,113.30,47900
01/04/2010,1233,113.30,40425
01/04/2010,1234,113.30,62916
01/04/2010,1235,113.31,15857
01/04/2010,1236,113.33,112042
01/04/2010,1237,113.33,358885
01/04/2010,1238,113.30,173295
01/04/2010,1239,113.33,87032
01/04/2010,1240,113.30,98201
01/04/2010,1241,113.28,167446
01/04/2010,1242,113.31,92821
01/04/2010,1243,113.31,40288
01/04/2010,1244,113.34,104168
01/04/2010,1245,113.32,118701
01/04/2010,1246,113.34,138038
01/04/2010,1247,113.35,23406
01/04/2010,1248,113.32,98160
01/04/2010,1249,113.33,27020
01/04/2010,1250,113.32,291424
01/04/2010,1251,113.32,199011
01/04/2010,1252,113.30,98462
01/04/2010,1253,113.30,53958
01/04/2010,1254,113.31,58380
01/04/2010,1255,113.31,41035
01/04/2010,1256,113.29,110623
01/04/2010,1257,113.30,142652
01/04/2010,1258,113.30,24029
01/04/2010,1259,113.30,35526
01/04/2010,1300,113.29,183537
01/04/2010,1301,113.31,234694
01/04/2010,1302,113.31,12922
01/04/2010,1303,113.29,62805
01/04/2010,1304,113.29,63288
01/04/2010,1305,113.30,83382
01/04/2010,1306,113.30,31892
01/04/2010,1307,113.31,11500
01/04/2010,1308,113.31,15164
01/04/2010,1309,113.32,130089
01/04/2010,1310,113.31,28455
01/04/2010,1311,113.31,351726
01/04/2010,1312,113.29,284939
01/04/2010,1313,113.29,89282
01/04/2010,1314,113.31,116464
01/04/2010,1315,113.30,92528
01/04/2010,1316,113.29,13130
01/04/2010,1317,113.30,11662
01/04/2010,1318,113.31,47948
01/04/2010,1319,113.32,94673
01/04/2010,1320,113.33,33528
01/04/2010,1321,113.33,33631
01/04/2010,1322,113.34,54720
01/04/2010,1323,113.34,224834
01/04/2010,1324,113.35,118403
01/04/2010,1325,113.34,114449
01/04/2010,1326,113.35,18965
01/04/2010,1327,113.37,242429
01/04/2010,1328,113.37,110490
01/04/2010,1329,113.34,128617
01/04/2010,1330,113.37,373643
01/04/2010,1331,113.36,184776
01/04/2010,1332,113.35,108385
01/04/2010,1333,113.35,175555
01/04/2010,1334,113.36,63401
01/04/2010,1335,113.34,91106
01/04/2010,1336,113.32,158429
01/04/2010,1337,113.33,281321
01/04/2010,1338,113.32,108786
01/04/2010,1339,113.33,20392
01/04/2010,1340,113.33,81953
01/04/2010,1341,113.33,9500
01/04/2010,1342,113.33,14557
01/04/2010,1343,113.32,102334
01/04/2010,1344,113.32,84224
01/04/2010,1345,113.33,88028
01/04/2010,1346,113.32,51219
01/04/2010,1347,113.31,70149
01/04/2010,1348,113.31,30448
01/04/2010,1349,113.30,38885
01/04/2010,1350,113.32,98725
01/04/2010,1351,113.30,144362
01/04/2010,1352,113.21,739250
01/04/2010,1353,113.19,272705
01/04/2010,1354,113.19,59107
01/04/2010,1355,113.22,267945
01/04/2010,1356,113.21,116555
01/04/2010,1357,113.19,113132
01/04/2010,1358,113.18,72853
01/04/2010,1359,113.18,164696
01/04/2010,1400,113.19,131060
01/04/2010,1401,113.19,55849
01/04/2010,1402,113.21,127642
01/04/2010,1403,113.21,108677
01/04/2010,1404,113.21,79560
01/04/2010,1405,113.21,16921
01/04/2010,1406,113.21,56233
01/04/2010,1407,113.21,83504
01/04/2010,1408,113.22,351293
01/04/2010,1409,113.22,14423
01/04/2010,1410,113.22,36406
01/04/2010,1411,113.21,35890
01/04/2010,1412,113.22,24109
01/04/2010,1413,113.21,68480
01/04/2010,1414,113.21,26823
01/04/2010,1415,113.20,180607
01/04/2010,1416,113.21,28816
01/04/2010,1417,113.21,25326
01/04/2010,1418,113.21,183368
01/04/2010,1419,113.21,17205
01/04/2010,1420,113.22,183950
01/04/2010,1421,113.21,107852
01/04/2010,1422,113.22,88557
01/04/2010,1423,113.21,31421
01/04/2010,1424,113.20,168597
01/04/2010,1425,113.18,199815
01/04/2010,1426,113.18,59866
01/04/2010,1427,113.21,329414
01/04/2010,1428,113.21,34844
01/04/2010,1429,113.22,64466
01/04/2010,1430,113.21,19391
01/04/2010,1431,113.24,161915
01/04/2010,1432,113.26,226410
01/04/2010,1433,113.25,172331
01/04/2010,1434,113.28,68330
01/04/2010,1435,113.28,162657
01/04/2010,1436,113.29,49567
01/04/2010,1437,113.26,115101
01/04/2010,1438,113.26,32795
01/04/2010,1439,113.23,573500
01/04/2010,1440,113.26,610993
01/04/2010,1441,113.26,78515
01/04/2010,1442,113.26,16365
01/04/2010,1443,113.31,181963
01/04/2010,1444,113.31,268461
01/04/2010,1445,113.33,183696
01/04/2010,1446,113.34,56252
01/04/2010,1447,113.37,394328
01/04/2010,1448,113.34,171836
01/04/2010,1449,113.36,47608
01/04/2010,1450,113.34,134203
01/04/2010,1451,113.33,282958
01/04/2010,1452,113.33,65523
01/04/2010,1453,113.32,80400
01/04/2010,1454,113.32,43117
01/04/2010,1455,113.32,112412
01/04/2010,1456,113.33,61128
01/04/2010,1457,113.32,156681
01/04/2010,1458,113.32,22750
01/04/2010,1459,113.30,155868
01/04/2010,1500,113.28,368855
01/04/2010,1501,113.26,194444
01/04/2010,1502,113.26,148730
01/04/2010,1503,113.31,250330
01/04/2010,1504,113.31,15511
01/04/2010,1505,113.32,220853
01/04/2010,1506,113.34,248579
01/04/2010,1507,113.35,252055
01/04/2010,1508,113.35,61190
01/04/2010,1509,113.36,199288
01/04/2010,1510,113.35,60285
01/04/2010,1511,113.35,78664
01/04/2010,1512,113.35,39745
01/04/2010,1513,113.31,190336
01/04/2010,1514,113.32,130678
01/04/2010,1515,113.31,203135
01/04/2010,1516,113.30,195890
01/04/2010,1517,113.31,261568
01/04/2010,1518,113.30,37172
01/04/2010,1519,113.29,105469
01/04/2010,1520,113.29,263976
01/04/2010,1521,113.31,40514
01/04/2010,1522,113.29,112729
01/04/2010,1523,113.30,97956
01/04/2010,1524,113.29,95702
01/04/2010,1525,113.25,284550
01/04/2010,1526,113.26,201287
01/04/2010,1527,113.27,248209
01/04/2010,1528,113.25,209978
01/04/2010,1529,113.26,72736
01/04/2010,1530,113.25,44537
01/04/2010,1531,113.25,91041
01/04/2010,1532,113.28,421311
01/04/2010,1533,113.27,300628
01/04/2010,1534,113.26,79130
01/04/2010,1535,113.24,240794
01/04/2010,1536,113.22,247798
01/04/2010,1537,113.24,290624
01/04/2010,1538,113.23,40035
01/04/2010,1539,113.21,484219
01/04/2010,1540,113.19,484631
01/04/2010,1541,113.18,469036
01/04/2010,1542,113.20,431063
01/04/2010,1543,113.20,188376
01/04/2010,1544,113.21,129734
01/04/2010,1545,113.21,141593
01/04/2010,1546,113.27,484562
01/04/2010,1547,113.26,254454
01/04/2010,1548,113.29,1080975
01/04/2010,1549,113.28,118208
01/04/2010,1550,113.32,467982
01/04/2010,1551,113.31,470159
01/04/2010,1552,113.30,280084
01/04/2010,1553,113.29,531193
01/04/2010,1554,113.30,427124
01/04/2010,1555,113.29,781756
01/04/2010,1556,113.27,637432
01/04/2010,1557,113.24,785900
01/04/2010,1558,113.26,787547
01/04/2010,1559,113.27,675961
01/04/2010,1600,113.31,2831261
01/05/2010,0931,113.33,2428051
01/05/2010,0932,113.30,1041515
01/05/2010,0933,113.30,377029
01/05/2010,0934,113.34,309534
01/05/2010,0935,113.21,477610
01/05/2010,0936,113.20,1229899
01/05/2010,0937,113.17,509969
01/05/2010,0938,113.14,711410
01/05/2010,0939,113.20,558960
01/05/2010,0940,113.19,289844
01/05/2010,0941,113.14,643299
01/05/2010,0942,113.10,318383
01/05/2010,0943,113.14,842110
01/05/2010,0944,113.17,306706
01/05/2010,0945,113.16,215453
01/05/2010,0946,113.26,957396
01/05/2010,0947,113.21,566848
01/05/2010,0948,113.19,340396
01/05/2010,0949,113.17,322166
01/05/2010,0950,113.19,323834
01/05/2010,0951,113.17,315066
01/05/2010,0952,113.20,291876
01/05/2010,0953,113.23,272492
01/05/2010,0954,113.24,414004
01/05/2010,0955,113.24,219099
01/05/2010,0956,113.25,1033557
01/05/2010,0957,113.19,683493
01/05/2010,0958,113.17,242774
01/05/2010,0959,113.11,185065
01/05/2010,1000,113.00,659012
01/05/2010,1001,112.97,2127244
01/05/2010,1002,113.15,759706
01/05/2010,1003,113.20,929938
01/05/2010,1004,113.17,430469
01/05/2010,1005,113.21,537444
01/05/2010,1006,113.22,162758
01/05/2010,1007,113.23,269889
01/05/2010,1008,113.19,225619
01/05/2010,1009,113.19,150761
01/05/2010,1010,113.19,78965
01/05/2010,1011,113.22,138990
01/05/2010,1012,113.22,200909
01/05/2010,1013,113.27,234233
01/05/2010,1014,113.33,468893
01/05/2010,1015,113.34,327219
01/05/2010,1016,113.34,382867
01/05/2010,1017,113.34,194284
01/05/2010,1018,113.35,156582
01/05/2010,1019,113.32,231837
01/05/2010,1020,113.34,102287
01/05/2010,1021,113.35,235093
01/05/2010,1022,113.37,220877
01/05/2010,1023,113.39,314226
01/05/2010,1024,113.41,389892
01/05/2010,1025,113.39,176719
01/05/2010,1026,113.42,143440
01/05/2010,1027,113.48,436195
01/05/2010,1028,113.56,1260798
01/05/2010,1029,113.52,472642
01/05/2010,1030,113.52,256479
01/05/2010,1031,113.52,616834
01/05/2010,1032,113.49,184190
01/05/2010,1033,113.51,138893
01/05/2010,1034,113.51,246245
01/05/2010,1035,113.52,63292
01/05/2010,1036,113.50,593646
01/05/2010,1037,113.53,513202
01/05/2010,1038,113.53,131805
01/05/2010,1039,113.53,783358
01/05/2010,1040,113.54,208203
01/05/2010,1041,113.55,204085
01/05/2010,1042,113.53,174642
01/05/2010,1043,113.56,264829
01/05/2010,1044,113.62,292979
01/05/2010,1045,113.64,667773
01/05/2010,1046,113.61,221986
01/05/2010,1047,113.60,243331
01/05/2010,1048,113.54,440922
01/05/2010,1049,113.53,372407
01/05/2010,1050,113.52,160677
01/05/2010,1051,113.52,175434
01/05/2010,1052,113.54,170567
01/05/2010,1053,113.53,80866
01/05/2010,1054,113.54,29506
01/05/2010,1055,113.56,141536
01/05/2010,1056,113.54,205687
01/05/2010,1057,113.54,271162
01/05/2010,1058,113.55,168827
01/05/2010,1059,113.56,60029
01/05/2010,1100,113.56,64290
01/05/2010,1101,113.56,424814
01/05/2010,1102,113.55,79843
01/05/2010,1103,113.54,51841
01/05/2010,1104,113.54,62056
01/05/2010,1105,113.56,170203
01/05/2010,1106,113.58,68465
01/05/2010,1107,113.58,76670
01/05/2010,1108,113.58,63709
01/05/2010,1109,113.59,143490
01/05/2010,1110,113.60,88693
01/05/2010,1111,113.58,248051
01/05/2010,1112,113.54,241922
01/05/2010,1113,113.56,414406
